pref_code,prefecture,population,aging_rate,income_per_capita,pop_density,physicians_per_100k
01,北海道,5224614,31.938455166257256,3175.568253251267,62.62736470231164,192.7
02,青森県,1237984,34.02887274795151,2834.549318639021,128.34648608075773,203.2
03,岩手県,1210534,33.3632925634472,2882.6438593108664,79.2493098204191,173.2
04,宮城県,2301996,28.02385408141456,3250.167066165693,316.11184501429506,168.5
05,秋田県,959502,36.44546858682941,2821.660014789229,82.44900975465563,181.3
06,山形県,1068027,33.56516267847161,2894.4654443375507,114.55645355915117,192.6
07,福島県,1833152,31.829711884230004,3052.5833300571016,132.99225908487438,178.9
08,茨城県,2867009,29.714870096326862,3311.6394120712744,470.2180840682348,157.2
09,栃木県,1933146,28.8940411122595,3265.5064941123883,301.6727293155995,153.6
10,群馬県,1939110,29.64065989036208,3221.005826836184,304.7822478734039,182.4
11,埼玉県,7344765,26.806072079909978,3594.5824306471472,1933.9780132973472,171.1
12,千葉県,6284480,27.522977239166963,3679.757499532487,1218.4868572846726,137.8
13,東京都,14047594,22.72285204142432,4920.155525707363,6402.644448799697,170.9
14,神奈川県,9237337,25.8224962454006,4049.4558191789015,3823.227005392966,213.5
15,新潟県,2201272,32.9253268110438,2960.3745130484394,174.92375347460066,176.7
16,富山県,1034814,32.37548003795852,3127.323227209044,243.62264897201013,160.9
17,石川県,1132526,29.79410627217388,3216.979427136708,270.5450671151361,207.6
18,福井県,766863,31.25877764346435,3150.4574473705065,182.9994845508433,224.1
19,山梨県,809974,30.701479306743177,3230.804593300432,181.39418221070616,199.6
20,長野県,2048011,31.78679216078429,3157.494087439883,151.01588607800284,199.9
21,岐阜県,1978742,30.476838314444223,3278.0010287152163,186.2995926106904,218.0
22,静岡県,3633202,29.83321598964219,3306.2874119542494,467.1468595667206,156.6
23,愛知県,7542415,25.25447088233676,3818.0953132648624,1458.0152597973738,161.3
24,三重県,1770254,29.728954150082416,3336.514335970188,306.5645624115723,161.2
25,滋賀県,1413610,26.511979966185866,3455.5056434321777,351.8736091681643,156.1
26,京都府,2578087,30.28020388761124,3582.196088495716,558.9712067993582,176.0
27,大阪府,8837685,27.60649423463272,3646.151804698209,4638.425566309072,229.4
28,兵庫県,5465002,28.93781191662876,3716.112340400623,650.5164849030236,223.7
29,奈良県,1324473,31.79098403666968,3515.088559664794,358.84435943147275,190.7
30,和歌山県,922584,33.1553549595484,3164.844744883502,195.2703374853164,204.4
31,鳥取県,553407,32.5928295088425,2874.0386010215893,157.79483509308182,204.0
32,島根県,671126,33.80453148887094,2931.8230233079044,100.0447209857698,226.3
33,岡山県,1888432,30.91729011158464,3190.045668867506,265.4405966549204,223.2
34,広島県,2799702,29.630367803430502,3375.836773639297,330.1679436484847,251.7
35,山口県,1342059,34.665018452989024,3199.3210611049644,219.5583178187791,176.2
36,徳島県,719559,34.26167972327495,3151.550325615516,173.52360282148672,189.7
37,香川県,950244,31.962632755376514,3164.1428952056667,506.3161372137384,275.1
38,愛媛県,1334841,33.65928975810602,3103.6149465878766,235.1649610037719,242.0
39,高知県,691527,35.9631655741569,2964.568405228408,97.34839793176164,206.0
40,福岡県,5135214,27.70622606964384,3344.584595597869,1029.8212577534186,316.9
41,佐賀県,811604,30.84915796373601,2966.944547949763,332.53055488406966,236.9
42,長崎県,1312317,32.741326981209575,2952.2238535001056,317.67691927823427,219.7
43,熊本県,1738301,31.913920546556668,3040.5730984535207,234.60562578109605,247.7
44,大分県,1123852,33.346739606282675,2991.361829751293,177.24247566537764,213.5
45,宮崎県,1069576,32.72633267762179,2879.375203908037,138.2735074115539,194.8
46,鹿児島県,1588256,32.83412749581932,2942.593686582972,172.8796807683851,193.6
47,沖縄県,1467480,22.608621582576934,3027.955151298913,642.9012656675093,241.6
